,Country Name,Country Code,mean
666713,Portugal,PRT,7.666666646798455
670378,Puerto Rico,PRI,13.370833357175202
674043,Qatar,QAT,1.1708333337058618
677708,Romania,ROU,6.862499992052714
681373,Russian Federation,RUS,8.195833365122478
685038,Rwanda,RWA,2.1041666890184083
688703,Samoa,WSM,5.65416665871938
696033,Sao Tome and Principe,STP,13.254166732231782
699698,Saudi Arabia,SAU,5.724999964237213
703363,Senegal,SEN,9.154166618982954
707028,Serbia,SRB,16.95833333333333
714358,Sierra Leone,SLE,3.0291666686534877
718023,Singapore,SGP,3.7583333402872086
725353,Slovak Republic,SVK,14.145833333333329
729018,Slovenia,SVN,7.062499999999999
732683,Solomon Islands,SLB,31.566666682561237
736348,Somalia,SOM,6.0374999443689985
740013,South Africa,ZAF,23.93750007947287
747343,Spain,ESP,17.037500182787593
751008,Sri Lanka,LKA,8.379166622956587
758338,St. Lucia,LCA,18.82083336512248
765668,St. Vincent and the Grenadines,VCT,19.5208331743876
769333,Sudan,SDN,14.108333349227898
772998,Suriname,SUR,9.941666662693018
776663,Swaziland,SWZ,24.533333381017055
780328,Sweden,SWE,7.354166616996132
783993,Switzerland,CHE,3.658333331346512
787658,Syrian Arab Republic,SYR,10.24166661500931
791323,Tajikistan,TJK,11.341666618982957
794988,Tanzania,TZA,3.345833331346512
798653,Thailand,THA,1.5291666761040694
802318,Timor-Leste,TLS,5.599999954303107
805983,Togo,TGO,6.350000083446502
809648,Tonga,TON,5.14583323399226
813313,Trinidad and Tobago,TTO,10.72916671633721
816978,Tunisia,TUN,15.029166539510099
820643,Turkey,TUR,8.883333305517832
824308,Turkmenistan,TKM,9.066666642824812
835303,Uganda,UGA,2.429166659712791
838968,Ukraine,UKR,8.400000075499216
842633,United Arab Emirates,ARE,3.2791666289170576
846298,United Kingdom,GBR,6.879166702429456
849963,United States,USA,6.1458333532015486
853628,Uruguay,URY,10.204166650772098
857293,Uzbekistan,UZB,9.091666579246523
860958,Vanuatu,VUT,5.625000019868215
864623,"Venezuela, RB",VEN,10.274999996026358
868288,Vietnam,VNM,2.3374999761581408
871953,Virgin Islands (U.S.),VIR,8.30833324790001
875618,West Bank and Gaza,PSE,23.304166595141083
879283,"Yemen, Rep.",YEM,14.729166746139517
882948,Zambia,ZMB,13.48750001192093
886613,Zimbabwe,ZWE,5.516666650772095
